movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
35141052,2020,Douban,6932,,,,6.8,世界奇妙物语 2020秋季特别篇 世にも奇妙な物語 '20秋の特別編,,Drama / Mystery / Thriller / Horror,,,https://movie.douban.com/subject/35141052/,日本 / 剧情 / 悬疑 / 惊悚 / 恐怖 / 世界奇妙物语 2020年秋季特别篇 / 106分钟
35129862,2020,Douban,7587,,,,6.6,世界奇妙物语 2020夏季特别篇 世にも奇妙な物語 '20夏の特別編,,Drama / Mystery / Horror,,,https://movie.douban.com/subject/35129862/,日本 / 剧情 / 悬疑 / 恐怖 / 世界奇妙物语 2020夏之特别篇 / 世界奇妙物语 20夏特别篇 / 120分钟
35267221,2020,Douban,7729,,,,9.0,孤独的美食家 2020除夕特别篇 孤独のグルメ 2020 大晦日スペシャル,,Drama,,,https://movie.douban.com/subject/35267221/,日本 / 剧情 / 孤独のグルメ 2020大晦日スペシャル ?俺の食事に密はない、孤独の花火大作戦！? / 73分钟
35019811,2020,Douban,977,,,,8.8,纸钞屋：全球热潮 Money Heist: The Phenomenon,,Documentary,,,https://movie.douban.com/subject/35019811/,西班牙 / 纪录片 / A nagy pénzrablás - A sorozat népszer?ségének titka (2020) (TV) / 纸房子：全球热潮 / 57分钟
35209682,2020,Douban,1303,,,,5.9,毛骨悚然撞鬼经 2020特别篇 ほんとにあった怖い話 2020特別編,,Drama / Thriller / Horror,,,https://movie.douban.com/subject/35209682/,日本 / 剧情 / 惊悚 / 恐怖 / 106分钟
35479220,2021,Douban,330,,,,7.2,2020年北京部分地区部分青年生活状况观察报告,,,,,https://movie.douban.com/subject/35479220/,中国大陆 / The Summer of The Epidemic / 330分钟
35500142,2020,Douban,215,,,,8.3,开放的美国学府 2020剧本圆桌会 Fast Times at Ridgemont High Table Read,,Comedy / Romance,,,https://movie.douban.com/subject/35500142/,美国 / 喜剧 / 爱情 / 60分钟
35561096,2021,Douban,1547,,,,8.0,双面奥运,,Documentary,,,https://movie.douban.com/subject/35561096/,中国大陆 / 纪录片 / 双面奥运·东京2020的60天记录 / 79分钟
35514781,2021,Douban,477,,,,5.9,二〇二〇年的一场雨,,Documentary,,,https://movie.douban.com/subject/35514781/,中国台湾 / 缅甸 / 纪录片 / Rain in 2020 / 79分钟
34936385,2020,Douban,127,,,,4.8,财神2020,,Comedy,,,https://movie.douban.com/subject/34936385/,中国香港 / 马来西亚 / 喜剧 / Good Wealth 2020 / 90分钟
34943015,2020,Douban,15596,,,,6.6,宝可梦：皮卡丘和可可的冒险 劇場版 ポケットモンスター ココ,,Drama / Animation / Adventure,,,https://movie.douban.com/subject/34943015/,日本 / 剧情 / 动画 / 冒险 / 精灵宝可梦：可可 / 剧场版 精灵宝可梦 2020 / 98分钟
34453221,2019,Douban,3390,,,,7.4,假面骑士令和初代 仮面ライダー 令和 ザファーストジェネレーション,,Drama / Fantasy,,,https://movie.douban.com/subject/34453221/,日本 / 剧情 / 奇幻 / 假面骑士：令和第一世代 / 假面骑士 令和 The First Generation / 98分钟
34845462,2019,Douban,184,,,,6.2,通灵少年2020  2020,,Drama / Action / Fantasy,,,https://movie.douban.com/subject/34845462/,泰国 / 剧情 / 动作 / 奇幻 / Necromancer 2020 / 114分钟
35271931,2020,Douban,179,,,,6.2,告别2020年 Yearly Departed,,Comedy,,,https://movie.douban.com/subject/35271931/,美国 / 喜剧 / 欢乐送终趴(港/台) / 年度告别会 / 44分钟
35235443,2020,Douban,724,,,,9.5,TME Live 孙燕姿2020线上音乐会2.0,,Documentary / Music,,,https://movie.douban.com/subject/35235443/,中国大陆 / 新加坡 / 纪录片 / 音乐 / Sun Yanzi TME Live 2020 / 55分钟
30345494,2019,Douban,559,,,,5.3,麻雀放浪记2020 麻雀放浪記2020,,Drama / Sci-Fi,,,https://movie.douban.com/subject/30345494/,日本 / 剧情 / 科幻 / Mānhan?r?ki2020 / 117分钟
34902583,2020,Douban,3614,,,,7.2,继母与女儿的蓝调 SP 義母と娘のブルース 2020年謹賀新年スペシャル,,Drama / Family,,,https://movie.douban.com/subject/34902583/,日本 / 剧情 / 家庭 / Gibo to Musume no Blues / 119分钟
34938158,2020,Douban,433,,,,9.2,2020年维也纳新年音乐会 Neujahrskonzert der Wiener Philharmoniker 2020,,Documentary,,,https://movie.douban.com/subject/34938158/,奥地利 / 纪录片 / Neujahrskonzert der Wiener Philharmoniker 2020 / 150分钟
35306009,2020,Douban,517,,,,9.0,新贵2020圣诞特辑 Upstart Crow: A Lockdown Christmas 1603,,Comedy,,,https://movie.douban.com/subject/35306009/,英国 / 喜剧 / Lockdown Christmas 1603 / Tomorrow & Tomorrow & Tomorrow: Lockdown Christmas 1603 / 29分钟
35084407,2020,Douban,412,,,,7.0,刑事zero 特别篇2020 刑事ゼロ スペシャル2020,,Drama / Crime / Mystery,,,https://movie.douban.com/subject/35084407/,日本 / 剧情 / 犯罪 / 悬疑 / 京都连环杀人事件 / Detective Zero Special / 120分钟
35202354,2020,Douban,748,,,,8.0,2020年央视中秋晚会 2020年中央广播电视总台中秋晚会,,Music / Musical,,,https://movie.douban.com/subject/35202354/,中国大陆 / 音乐 / 歌舞 / 2020年央视中秋晚会 / 120分钟
35296150,2020,Douban,109,,,,7.6,M-1 大奖赛 2020 M-1 グランプリ 2020,,Comedy,,,https://movie.douban.com/subject/35296150/,日本 / 喜剧
35275012,2020,Douban,277,,,,4.9,特种人员,,Action,,,https://movie.douban.com/subject/35275012/,韩国 / 动作 / 特工2020 / 特务 / 94分钟
35242823,2020,Douban,852,,,,9.4,岚ARAFES2020at国立竞技场 ARASHI ARAFES 2020 at National stadium,,Music / Musical,,,https://movie.douban.com/subject/35242823/,日本 / 音乐 / 歌舞 / 毕业了
35432810,2021,Douban,691,,,,8.7,武林往事——1920-2020百年武打影史,,Documentary,,,https://movie.douban.com/subject/35432810/,中国大陆 / 纪录片 / 98分钟
